Place_Name,Description,Categories,City,Price,Ratings,Time_Minutes,Coordinate,Lat,Long,_1,Rating_Count,Categories_Label
Museum Tekstil,"The Textile Love Museum occupies an old building on Jalan KS Tubun / Kota Bambu Selatan No. 4 Palmerah District, West Jakarta\n\nThe building itself was originally the private house of a French citizen built in the 19th century. Then it was bought by the Turkish consul named Abdul Azis Almussawi Al Kazimi who lives in Indonesia. Then in 1942 it was sold to Dr. Karel Christian Cruq.\nDuring the struggle for Indonesian independence, this building was the headquarters of the People's Security Front (BKR) and in 1947 was occupied by Lie Sion Pin. In 1952 it was purchased by the Ministry of Social Affairs and on 25 October 1975 it was handed over to the Regional Government of DKI Jakarta and then on 28 June 1976 its use was inaugurated by Mrs. Tien Soeharto as a Textile Museum.",Culture,Jakarta,5000,45,45.0,"{'lat': -6.187963400000002, 'lng': 106.8096081}",-61879634,1068096081,60,17,0
Museum Kebangkitan Nasional,"The National Awakening Museum (English: Museum of National Awakening) is a building built as a monument where national consciousness was born and developed and where the first modern movement organization was discovered under the name Boedi Oetomo. Before becoming a museum, this building was formerly a medical school founded by the Dutch with the name School tot Opleiding van Inlandsche Artsen abbreviated as STOVIA or Bumiputra Doctor's School. Along the way, the building always changed functions. The location of this museum is not far from Senen Market, precisely on Jalan Abdurrahman Saleh No.26, before Gatot Subroto Army Hospital, Central Jakarta.",Culture,Jakarta,2000,47,45.0,"{'lat': -6.178352, 'lng': 106.838094}",-6178352,106838094,63,19,0
Museum Sasmita Loka Ahmad Yani,"The Sasmita Loka Ahmad Yani Museum is a national hero museum located on Jalan Lembang No. 58 and Laruharhari street no. 65, Central Jakarta, DKI Jakarta, Indonesia. This museum is open to the public from Tuesday to Sunday, from 08:00 to 14:00 WIB. Every Monday the museum is closed to the public.",Culture,Jakarta,2000,47,45.0,"{'lat': -6.204630300000001, 'lng': 106.8365324}",-62046303,1068365324,64,24,0
Museum Basoeki Abdullah,"The Basoeki Abdullah Museum contains paintings and Basoeki Abdullah's personal collections such as statues, masks, puppets and weapons. This museum, located in South Jakarta, is managed by the Ministry of Education and Culture. Apart from being used for exhibitions, this museum is also used to hold seminars, research, workshops and publish various forms of publications in the form of catalogs, biographies, collections of articles and research results._x000D_",Culture,Jakarta,1000,46,90.0,"{'lat': -6.289788499999998, 'lng': 106.7932681}",-62897885,1067932681,65,19,0
Museum Layang-layang,"The Kite Museum is a museum located on Jl. H. Kamang No. 38, Pondok Labu, South Jakarta. This museum is the first kite museum in Indonesia. The number of kite collections in this museum is 600, but this number continues to increase with the arrival of new collections from local and overseas kites as well as kites made themselves by museum employees. The Kite Museum is open every day from 09.00-16.00 WIB. National holidays The Kite Museum is closed.",Culture,Jakarta,10000,45,90.0,"{'lat': -6.3080282, 'lng': 106.790548}",-63080282,106790548,66,21,0
Margasatwa Muara Angke,"The Muara Angke wildlife reserve is a conservation area based on the Decree of the Minister of Forestry of the Republic of Indonesia Number: 097/Kpts-II/1988, 29 February 1998 in the mangrove forest area on the north coast of Jakarta. Administratively, this area includes the Kapuk Muara Village area, Penjaringan District, North Jakarta Municipality.",Nature preserve,Jakarta,25000,42,15.0,"{'lat': -6.1160075, 'lng': 106.7692016}",-61160075,1067692016,67,18,1
Pasar Petak Sembilan,"Glodok Chinatown, precisely at Petak Sembilan Market, West Jakarta, is a place that sells various kinds of typical Chinese culinary delights. This area, which is mostly inhabited by Chinese people, is famous for its typical Chinese culinary delights which are sold by many residents. Starting from basket cakes, dodol cakes, to layer cakes, many are sold here. With prices ranging from IDR 30 thousand to IDR 100 thousand, these three types of cake are the cakes most often purchased to complement Chinese New Year celebrations. According to sources from sellers, they admitted that the cakes they sold were imported directly from various regions. Because they come from different regions, these cakes have their own characteristics.",Shopping center,Jakarta,0,44,45.0,"{'lat': -6.143672200000001, 'lng': 106.8129398}",-61436722,1068129398,68,26,3
Perpustakaan Nasional,"The National Library is a library specifically established by the National Government to store information about that country. In contrast to public libraries, it is very rare for the general public to borrow books. Often a national library holds rare and historical collections.\nSome early libraries could be called national libraries, such as the Library of Alexandria which was an Ancient Egyptian Library. National libraries are often very large and spacious, especially when compared with other regular libraries in their country. Some countries that are not independent, but still wish to preserve their special culture generally establish a national library with all the institutional attributes of a legal deposit.\nMany national libraries collaborate with the International Federation of Library Associations and Institutions (English: International Federation of Library Associations and Institutions (IFLA)) to discuss general tasks, establish and promote general standards and implement projects to help fulfill their tasks. National libraries in Europe participate in the European Library. This is a service of the Conference of European National Librarians (CENL).\nOne of the first plans for a national library was designed by the mathematician, John Dee, in 1556 which was shown to Mary I of England with a visionary plan for the preservation of old books, manuscripts, and records and the establishment of a national library, but the proposal was not approved.",Culture,Jakarta,0,47,240.0,"{'lat': -6.181291799999999, 'lng': 106.8268717}",-61812918,1068268717,70,23,0
Museum Tengah Kebun,"Museum in Tengah Kebun is a museum storing Â± 4,000 collections of Indonesian and foreign art and history located in the Kemang area, South Jakarta. This museum was built in the middle of a 3,500 m2 garden. This museum is privately owned by Sjahrial Djalil, one of Indonesia's modern advertising figures and founder of the advertising agency Ad Force Inc. In 2013, this museum was selected as the Best Private Museum at the Museum Awards with collections from 63 countries and 26 provinces in Indonesia.[2] What makes this museum different from other museums is the arrangement of the 2,414 collections on display to visitors, placed irregularly in various corners of the room, such as the floor, garden area, toilet, outside walls of the house, and so on.",Culture,Jakarta,0,46,120.0,"{'lat': -6.267513, 'lng': 106.824107}",-6267513,106824107,74,26,0
Plaza Indonesia,"Plaza Indonesia was inaugurated in early 1990, consisting of four floors of upscale shops with an area of 38,050 m2. This shopping center is located at the Hotel Indonesia Roundabout, precisely between Jalan MH Thamrin and Jalan Kebon Kacang Raya in Jakarta's main business district.\nPlaza Indonesia is also equipped with the Grand Hyatt Jakarta hotel, a 28-story five-star hotel which was officially opened at the beginning of the year. 1990. This hotel has more than 300 rooms with a modern minimalist design, exclusive restaurants and very complete facilities.\nThe development of Plaza Indonesia continued when Entertainment X'nter opened next to the existing building targeting the young market share. The two buildings are connected by a bridge surrounded by shops.\nNow, Plaza Indonesia has been equipped with the office building The Plaza Office Tower and the Keraton Grand Hyatt Residences apartment.\nPlaza Indonesia was developed by PT Global Land Development Tbk (formerly known as PT Kridaperdana Indahgraha Tbk).",Shopping center,Jakarta,0,47,120.0,"{'lat': -6.193925900000002, 'lng': 106.8222158}",-61939259,1068222158,80,26,3
Mall Thamrin City,"Thamrin City or Thamrin City Mall is a large shopping center in Central Jakarta, which is located Â± 150 meters from the Hotel Indonesia roundabout and Â± 300 meters from Tanah Abang Market, which is precisely on Jl. Thamrin Boulevard (formerly Kebon Kacang Raya) with access in various directions, including from Jl. Thamrin, Jl. Betung Bay, as well as from Jl. KH. Mas Mansour",Shopping center,Jakarta,0,44,60.0,"{'lat': -6.1946096, 'lng': 106.817905}",-61946096,106817905,81,23,3
Museum Satria Mandala,"The Satria Mandala Museum is a museum of the history of the struggle of the Indonesian National Army located on Jalan Gatot Subroto, South Jakarta. This museum, which was inaugurated in 1972 by the former President of Indonesia, Soeharto, was originally the home of one of the wives of the former President of Indonesia, Soekarno, namely his wife, Ratna Sari Dewi Soekarno. In this museum you can find various collections of war equipment in Indonesia, from the past to the modern, such as collections of mines, missiles, torpedoes, tanks, cannons and even helicopters and airplanes (one of which is the Cureng plane which was flown by Air Marshal Agustinus Adisucipto). \nApart from that, this museum also stores various historical objects related to the TNI, such as various heavy and light weapons, military attributes, banners and symbols within the TNI. Apart from that, this museum also displays the stretcher that was used to carry Commander-in-Chief General Soedirman when he was sick in his guerrilla campaign against the Dutch re-occupation in the 1940s.\nStill in the Satriamandala TNI Museum complex there is also the Purbawisesa Alert Museum which displays dioramas of the TNI era. together with the people crushed the DI/TII separatist gangs in West Java, Central Java, Aceh, South Kalimantan and South Sulawesi in the 1960s. Other facilities at the Satriamandala TNI Museum include a Children's Reading Garden, Souvenir Kiosk, Canteen and a Multipurpose Building with a capacity of 600 seats.",Culture,Jakarta,5000,45,150.0,"{'lat': -6.231698499999999, 'lng': 106.8185425}",-62316985,1068185425,82,23,0
Museum Benteng Vredeburg Yogyakarta,"Vredeburg Fort Museum (Javanese: ê¦©ê¦¸ê¦±ê¦¶ê¦ªê¦¸ê¦©ê§€â€‹ê¦§ê¦ºê¦ ê¦ºê¦ â€‹ê¦® ê¦³ê¦½ê¦¢ê¦¼ê¦§ê¦¸ê¦‚ê¦'ê§€, translit. Musiyum BÃ¨tÃ¨ng Vredeburg is a fort located in front of the Great Building and the Palace of the Current Sultanate of Yogyakarta. This fort is a museum. In a number of buildings inside this fort there are dioramas about Indonesian history.",Culture,Yogyakarta,3000,46,120.0,"{'lat': -7.800201599999999, 'lng': 110.3663044}",-78002016,1103663044,88,32,0
Monumen Yogya Kembali,"Yogya Lagi Monument Museum (Javanese: ê¦©ê¦ºê¦´ê¦¤ê¦¸ê¦©ê¦ºê¦¤ê§€â€‹ê¦ªê¦ºê¦´ê¦'ê¦¾â€ ‹ê¦ ê¦¼ê¦©ê§€ê¦§ê¦ê¦¶, translit. Yogya Lagi Monument) commonly known as the Jogja Lagi Monument abbreviated as Monjali is a museum of the history of the Indonesian independence struggle in the Special Region of Yogyakarta and managed by the Ministry of Tourism and Creative Economy. This museum, which is located in the northern part of the city, is often visited by students on field trips.\n\nThis cone-shaped monument museum consists of 3 floors and is equipped with a library and multipurpose room. On the shutter at the entrance are written the names of 422 heroes who died in the Wehrkreise III (RIS) area between 19 December 1948 and 29 June 1949. In the 4 museum rooms on the 1st floor there are collection objects: reliefs, replicas, photos, documents, heraldry, various types of weapons, evocative forms of public kitchens in the atmosphere of the 1945-1949 war of independence. The palanquin and dokar (horse-drawn carriage) once used by Commander-in-Chief General Soedirman are also kept here (in museum room number 2). Yogya Lagi Monument is located at Jl. North Ring Road, Sleman Regency, Special Region of Yogyakarta.",Culture,Yogyakarta,15000,45,30.0,"{'lat': -7.7495904, 'lng': 110.3696068}",-77495904,1103696068,97,22,0
Taman Budaya Yogyakarta,"Yogyakarta Cultural Park (TBY) (Hanacaraka:ê¦ ê¦©ê¦¤ê§€â€‹ê¦§ê¦¸ê¦¢ê¦ªâ€‹ê¦”ê¦ªê¦ºê¦´ê¦' ê¦¾ê¦ ê¦‚ê¦ , Javanese: Ngayogyakarta Cultural Park) is a tourist facility located on Jalan Sri Wedani No 1, Yogyakarta. TBY has a building complex that functions as a venue for exhibitions, performances and various other arts activities. TBY is the Service Technical Implementation Unit (UPTD) at the Yogyakarta Special Region Provincial Culture Service. The function of TBY is as a cultural center including the development and processing of documentation centers, display cases and information on arts and culture and tourism._x000D_",Culture,Yogyakarta,0,45,210.0,"{'lat': -7.8001041, 'lng': 110.3676579}",-78001041,1103676579,100,20,0
Monumen Batik Yogyakarta,"The government's attention to batik culture is very large, this is because the culture is in direct contact with Javanese society. Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja. The government's attention to batik culture is very large, this is because the culture is in direct contact with Javanese society. Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja.",Culture,Yogyakarta,40000,45,15.0,"{'lat': -7.8011159, 'lng': 110.3646172}",-78011159,1103646172,102,24,0
Candi Donotirto,"Even though it is attached to the word temple, Donotirto Temple is not a relic of the Hindu-Buddhist era in Yogyakarta. This place was built by the Dutch government. There are two parts, namely the western part for men and the eastern part for women. Each of them is fed by 5 water fountains that originate from the Winogo River, meaning there are 10 fountains there. Until now, this place is still maintained by local residents even though it is used as a public toilet. Therefore, don't be reluctant to set aside your money to cover the costs of maintaining and cleaning this place.",Culture,Yogyakarta,0,44,25.0,"{'lat': -7.795561299999998, 'lng': 110.3612095}",-77955613,1103612095,105,19,0
Museum Sonobudoyo Unit I,"Sonobudoyo Museum is a museum and library of Javanese history and culture in Yogyakarta, Indonesia. This museum contains the most complete collection of Javanese artifacts, after the National Museum in Jakarta. Apart from Neolithic era ceramics and 8th century bronze statues, this museum also holds a collection of wayang, various ancient weapons (such as keris), and Javanese masks. The Sonobudoyo Museum consists of two units, Unit I is located on Jalan Trikora No. 6 Yogyakarta, and Unit II is located in Ndalem Condrokiranan, Wijilan, to the east of the main square (north) of the city._x000D_",Culture,Yogyakarta,5000,46,120.0,"{'lat': -7.8024499, 'lng': 110.3639555}",-78024499,1103639555,118,22,0
Lava Bantal,"The DIY region offers a number of tourism potentials, especially river-based tourism. One of them which has now become one of the favorites of tourists is the Lava Pillow in Berbah District, Sleman Regency. As the name suggests, this tourist attraction offers rocks that are thought to have come from incandescent lava from underwater volcanoes that dried over hundreds of years ago. Lying on the Opak River, these rocks are a unique sight that can catch the attention of travelers. It is said that the existence of Pillow Lava contributed greatly to the formation of Java Island. Natural phenomena such as those that occur in Pillow Lava are very rare. On the island of Java, a similar phenomenon can only be found in Karangsambung (Kebumen), Ciletuh (West Java), and in Berbah (DIY). With a long geological historical background, since October 2 2014 the government has designated this tourist attraction as a geo heritage. This means that all the geological uniqueness in this tourist attraction is classified as an object protected by the government.",Culture,Yogyakarta,5000,44,30.0,"{'lat': -7.808151800000001, 'lng': 110.4595183}",-78081518,1104595183,119,20,0
Bukit Panguk Kediwung,"Panguk Kediwung Hill is a tourist attraction that offers natural views from a height. When compared to other hilly tourist attractions in Bantul, Panguk Kediwung Hill is relatively new because it opened in 2016. But make no mistake, this location has already stolen the hearts of many visitors from inside and outside the city. Panguk Kediwung Hill is located in Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Don't worry about getting lost because along the road to the location we will see several signboards. Approximately 20 km from the center of Yogyakarta City. From the center of Yogyakarta City you can move south towards Jalan Imogiri Timur, follow the road until you find Imogiri Market, then turn left and continue your journey towards Dlingo, from there you will start to see signs for the road to Panguk Kediwung Hill. The access road to Panguk Kediwung Hill has been smoothly paved, but the contour is slightly up and down but is still in the safe category. It is highly recommended to use private vehicles because access here using public transportation is quite difficult.",Culture,Yogyakarta,250000,45,90.0,"{'lat': -7.9583695, 'lng': 110.4407622}",-79583695,1104407622,120,25,0
Watu Goyang,"Watu Goyang comes from Javanese which means rock that sways. Previously, at this place there was a rock at the top that could sway when touched or pushed. This stone has been around for hundreds of years. The managers explained that Watu Goyang never collapses even when touched or even climbed, but the management forbids visitors who try to climb Watu Goyang because it will be very dangerous for safety. The uniqueness of this giant rock is its structure which contains unique protrusions. The natural scenery is still green and Mount Merapi looks very natural, very suitable for visitors to get rid of boredom with daily activities in the city. Being at this peak, visitors will feel the cool air temperature, especially in the morning. And during the day, even though the weather is hot, the breeze that greets you feels fresh and comfortable.",Culture,Yogyakarta,2500,44,45.0,"{'lat': -7.9274086, 'lng': 110.4120586}",-79274086,1104120586,122,18,0
Alun-alun Utara Keraton Yogyakarta,"The north square or in Javanese called Alun-alun Lor is one of the land marks of the city of Yogyakarta in the form of a field in front of the Yogyakarta Palace. It is called Alun-alun Lor because in the city of Yogyakarta there are two squares located to the south and north of the Yogyakarta Palace. Alun-alun Lor is square with an area of 150 x 150 meters with two large banyan trees fenced in in the middle of the square. The two big banyan trees were respectively named Kyai Dewandaru and Kyai Wijayandaru. In the past, 63 banyan trees were planted around Lor Square which symbolized the age of the Prophet Muhammad SAW.",Culture,Yogyakarta,0,46,60.0,"{'lat': -7.803897499999998, 'lng': 110.3644232}",-78038975,1103644232,125,17,0
Watu Lumbung,"The location of the Watu Lumbung Educational Village is in a hilly area filled with groves of teak trees, making the views from this place very beautiful. Watu Lumbung was conceptualized by M Boy Rifai as a place that teaches educational values, where Boy Rifai has succeeded in turning barren land that was previously left alone, now into an exotic place to enjoy the night and see the sunset and sunrise. To maintain the beauty of the area around the tourist spot, the management deliberately built this area as a tourist area that is in harmony with nature.",Nature preserve,Yogyakarta,5000,43,30.0,"{'lat': -7.992437900000001, 'lng': 110.317778}",-79924379,110317778,131,18,1
Air Terjun Kedung Pedut,"Kedung Pedut Waterfall or commonly called Curug Kedung Pedut comes from a Javanese term. Curug means waterfall, kedung means puddle or pond, and pedut means fog. Kedung Pedut Waterfall is one of the natural attractions in Kulonprogo which is known for the beautiful color of its water.",Nature preserve,Yogyakarta,20000,45,60.0,"{'lat': -7.769987499999998, 'lng': 110.1210707}",-77699875,1101210707,132,22,1
Wisata Alam Kalibiru,"Kalibiru is actually the name of a forest which is currently being processed into a natural tourist spot. Kalibiru Forest has a height of 450 meters above sea level and is a fertile hilly area. The air temperature in this place is very cool. Kalibiru is managed by the government and local communities as a natural and educational tourist attraction. There are many things you can get there, including outbound, accommodation, and several spots to look for contemporary photos. There is also a trekking route which can also be used as a camping location.",Nature preserve,Yogyakarta,20000,44,90.0,"{'lat': -7.8057305, 'lng': 110.127969}",-78057305,110127969,137,16,1
Puncak Gunung Api Purba - Nglanggeran,"Mount Nglanggeran is a mountain in the Special Region of Yogyakarta, Indonesia. This mountain is an ancient volcano that was formed around 0.6-70 million years ago or has a tertiary age (Oligo-Miocene). Mount Nglanggeran has very distinctive rocks because they are dominated by volcanic agglomerates and breccia. This mountain is located in Nglanggeran Village, Patuk District, Gunung Kidul Regency which is in the Baturagung Mountain range.",Nature preserve,Yogyakarta,10000,47,60.0,"{'lat': -7.841252999999998, 'lng': 110.543056}",-7841253,110543056,139,17,1
Bunker Kaliadem Merapi,"Kaliadem Bunker is a tourist attraction located on the southern slopes of Mount Merapi. This tourist destination contains many traces of the volcanic eruption, especially in 2006 and 2010. This phenomenal location is at an altitude of more than 2,000 meters above sea level. Located in Sleman Regency, tourists are invited to witness the majesty of Merapi from a distance of five kilometers. This area combines the history, beauty and unique nature of Mount Merapi with its volcanic phenomena.",Nature preserve,Yogyakarta,3000,45,45.0,"{'lat': -7.582919800000001, 'lng': 110.4476816}",-75829198,1104476816,141,20,1
Ledok Sambi,"Ledok Sambi tourist village is a village that has an authentic Jogja natural feel, which is located close to Mount Merapi or on Jl. Kaliurang Km. 19.2 Padukuhan Sambi Pakembinangun Village District. Pakem Sleman Regency Yogyakarta Special Region. Beautiful natural views can provide coolness, freshness and peace of mind. As far as the eye can see in this tourist village you will be presented with vast expanses of natural and beautiful rice fields as well as shady green trees and clear water in the Ledok Sambi Tourism Village area. Jogja's spacious traditional houses are used as a place to play while enjoying the cool air that soothes the heart, soul and mind.",Nature preserve,Yogyakarta,0,46,150.0,"{'lat': -7.647094300000001, 'lng': 110.4280998}",-76470943,1104280998,142,28,1
Seribu Batu Songgo Langit,"The name Seribu Batu Songgo Langit has its own meaning. Before it became a tourist spot, at this location there were hundreds or even thousands of rocks and of course pine forests. Songgo Langit means supporting the sky, this is because in Seribu Baru Songgo Langit there is a hill which seems to be a pillar of the sky. Seribu Batu Songgo Langit is a tourist spot in the Dlingo area which offers various kinds of tourist attractions, but most of them are photo spots. Almost all of the photo spots in Seribu Batu are anti-mainstream. You will find several photo spots in four parts of this tourist attraction. Entering the Seribu Batu Songgo Langit gate you are required to go down the wooden stairs to reach the first spot. This first spot offers a fairy tale house of a thousand logs. This spot is in the form of a small house that resembles a dwarf's house in a fairy tale. There are seven dwarf houses arranged in a conical manner so that they create a good photo angle.",Nature preserve,Yogyakarta,2000,46,90.0,"{'lat': -7.931098399999999, 'lng': 110.430919}",-79310984,110430919,143,21,1
